ID	title	budget	indirect	career-level
1	Future Security Modelling	81422	8142	mid
2	Virtual Database Synthesis	36284	3628	mid
3	Digital Innovation Transformation	62194	6219	established
4	Global Discovery Transformation	41023	4102	established
5	Advanced Protocol Transformation	81101	8110	mid
6	Systemic Discovery Automation	78707	7870	mid
7	Digital Database Synthesis	66434	6643	established
8	Future Interface Synthesis	81886	8188	mid
9	Virtual Analysis Automation	28890	2889	mid
10	Future Interface Implementation	46777	4677	established
11	Systemic Analysis Implementation	36016	3601	established
12	Hybrid Material Modelling	80387	8038	mid
13	Strategic Infrastructure Implementation	65994	6599	established
14	Advanced Discovery Integration	48939	4893	established
15	Autonomous Network Refinement	77995	7799	established
16	Systemic Infrastructure Modelling	25161	2516	established
17	Renewable Innovation Transformation	50851	5085	established
18	Advanced Analysis Modelling	49300	4930	established
19	Hybrid Protocol Automation	46243	4624	mid
20	Strategic Interface Management	76214	7621	mid
21	Strategic Protocol Modelling	79615	7961	established
22	Digital Energy Optimization	73190	7319	established
23	Global Intelligence Deployment	38986	3898	mid
24	Virtual Database Automation	28561	2856	established
25	Renewable Innovation Implementation	47662	4766	mid
26	Virtual Material Modelling	48599	4859	mid
27	Hybrid Innovation Integration	55818	5581	mid
28	Strategic Energy Transformation	67530	6753	mid
29	Global Intelligence Transformation	38773	3877	established
30	Virtual Security Automation	58270	5827	mid
31	Systemic Database Synthesis	46518	4651	mid
32	Virtual Intelligence Architecture	75015	7501	mid
33	Future Analysis Management	70151	7015	mid
34	Digital Infrastructure Management	81044	8104	mid
35	Autonomous Protocol Implementation	52890	5289	established
36	Renewable Analysis Integration	67557	6755	established
37	Hybrid Protocol Architecture	54723	5472	established
38	Digital Database Management	67941	6794	established
39	Virtual Intelligence Optimization	46976	4697	mid
40	Renewable Infrastructure Automation	26306	2630	mid
41	Autonomous Innovation Deployment	65294	6529	mid
42	Collaborative Intelligence Synthesis	78565	7856	established
43	Digital Discovery Modelling	25663	2566	mid
44	Strategic Intelligence Refinement	77915	7791	established
45	Virtual Network Synthesis	42675	4267	mid
46	Strategic Innovation Optimization	26636	2663	mid
47	Advanced Network Integration	51736	5173	mid
48	Strategic Intelligence Synthesis	49548	4954	established
49	Collaborative Protocol Refinement	79401	7940	established
50	Virtual Infrastructure Management	51309	5130	mid
51	Digital Intelligence Integration	69215	6921	established
52	Future Network Integration	65772	6577	established
53	Strategic Interface Deployment	59698	5969	established
54	Global Infrastructure Deployment	76663	7666	established
55	Systemic Energy Synthesis	31546	3154	established
56	Virtual Infrastructure Automation	27911	2791	mid
57	Virtual Network Modelling	43343	4334	mid
58	Hybrid Interface Automation	26802	2680	established
